specie,Record Number,Process,QDB Process,Theory or Experiment,data type,Projectile Element,Projectile Charge State,Target Molecule,Target Charge State,Initial Excited State B,Products,Original X Unit,Original Y Unit,Reference Number,Author(s),Title of Record,Journal Name,Volume and Issue No,Page Numbers,Date of Publication,Process Title
22Ne,11665, charge exchange,, E, CS, 22Ne,9, H2O,0,, 22Ne7+;H2O2+, eV, cm2,2.00E+307, Greenwood### J.B.$Williams### I.D.$Smith### S.J.$Chutjian### A., Experimental investigation of the processes determining x-ray emission intensities from charge-exchange collisions, Phys. Rev. A,63,62707,2001, 22Ne9+ + H2O --> 22Ne7++H2O2+
22Ne,11666, charge exchange,, E, CS, 22Ne,9, CO2,0,, 22Ne8+;CO2+, eV, cm2,2.00E+307, Greenwood### J.B.$Williams### I.D.$Smith### S.J.$Chutjian### A., Experimental investigation of the processes determining x-ray emission intensities from charge-exchange collisions, Phys. Rev. A,63,62707,2001, 22Ne9+ + CO2 --> 22Ne8++CO2+
22Ne,11667, charge exchange,, E, CS, 22Ne,9, CO2,0,, 22Ne7+;CO22+, eV, cm2,2.00E+307, Greenwood### J.B.$Williams### I.D.$Smith### S.J.$Chutjian### A., Experimental investigation of the processes determining x-ray emission intensities from charge-exchange collisions, Phys. Rev. A,63,62707,2001, 22Ne9+ + CO2 --> 22Ne7++CO22+
22Ne,11668, charge exchange,, E, CS, 22Ne,9, H2,0,, 22Ne8+;H2+, eV, cm2,2.00E+307, Greenwood### J.B.$Williams### I.D.$Smith### S.J.$Chutjian### A., Experimental investigation of the processes determining x-ray emission intensities from charge-exchange collisions, Phys. Rev. A,63,62707,2001, 22Ne9+ + H2 --> 22Ne8++H2+
3He,10251, charge transfer,HCX, E, CS, 3He,2, CO,0,, 3He+, eV, cm2, 1999C399, Ishii### K.$Okuno### K.$Kobayashi### N., Single- and multiple-charge changing cross sections in slow collsions of Krq+(q=7-9) with Ne### N2### O2 and CO, Physica Scripta., T80, 176-178,1999, 3He2+ + CO --> 3He+
3He,10252, charge transfer,HCX, E, CS, 3He,2, CO,0,, 3He, eV, cm2, 1999C399, Ishii### K.$Okuno### K.$Kobayashi### N., Single- and multiple-charge changing cross sections in slow collsions of Krq+(q=7-9) with Ne### N2### O2 and CO, Physica Scripta., T80, 176-178,1999, 3He2+ + CO --> 3He
3He,10253, charge transfer,HCX, E, CS, 3He,2, O2,0,, 3He+, eV, cm2, 1999C399, Ishii### K.$Okuno### K.$Kobayashi### N., Single- and multiple-charge changing cross sections in slow collsions of Krq+(q=7-9) with Ne### N2### O2 and CO, Physica Scripta., T80, 176-178,1999, 3He2+ + O2 --> 3He+
3He,10254, charge transfer,HCX, E, CS, 3He,2, O2,0,, He, eV, cm2, 1999C399, Ishii### K.$Okuno### K.$Kobayashi### N., Single- and multiple-charge changing cross sections in slow collsions of Krq+(q=7-9) with Ne### N2### O2 and CO, Physica Scripta., T80, 176-178,1999, 3He2+ + O2 --> 3He
3He,10255, charge transfer,HCX, E, CS, 3He,2, N2,0,, 3He+, eV, cm2, 1999C399, Ishii### K.$Okuno### K.$Kobayashi### N., Single- and multiple-charge changing cross sections in slow collsions of Krq+(q=7-9) with Ne### N2### O2 and CO, Physica Scripta., T80, 176-178,1999, 3He2+ + N2 --> 3He+
3He,10256, charge transfer,HCX, E, CS, 3He,2, N2,0,, 3He, eV, cm2, 1999C399, Ishii### K.$Okuno### K.$Kobayashi### N., Single- and multiple-charge changing cross sections in slow collsions of Krq+(q=7-9) with Ne### N2### O2 and CO, Physica Scripta., T80, 176-178,1999, 3He2+ + N2 --> 3He
3He,10282, charge transfer,HCX, E, CS, 3He,2, H2,0,, 3He+, eV, cm2, 1985C405, Rudd### M.E.$Goffe### T.V.$Itoh### A., Ionization cross sections for 10-300-keV/u and electron-capture cross sections for 5-150-keV/u 3He2+ ions in gases, Phys. Rev. A,32, 2128-2133,1985, 3He2+ + H2 --> 3He+
