specie,Record Number,Process,QDB Process,Theory or Experiment,data type,Projectile Element,Projectile Charge State,Target Molecule,Target Charge State,Initial Excited State B,Products,Original X Unit,Original Y Unit,Reference Number,Author(s),Title of Record,Journal Name,Volume and Issue No,Page Numbers,Date of Publication,Process Title
C,10106, charge transfer,HCX, E, CS, C,3, C3H8,0,, C, eV, cm2, 1995C352, Itoh### A.$Imanishi### N.$Fukuzawa### F.$Hashimoto### N$Hanawa### S.$Tanaka### T.$Ohdaira### T.$Saito### M.$Haruyama### Y.$Shirai### T., Single-### Double- and Triple-Electron Capture Cross Sections for Multicharged Slow Carbon Ions in H2### CH4### C2H6### C3H8 and CO2 Molecules, J. Phys. Soc. Jpn.,64,3255,1995, C3+ + C3H8 --> C
C,10107, charge transfer,HCX, E, CS, C,1, CO2,0,, C, eV, cm2, 1995C352, Itoh### A.$Imanishi### N.$Fukuzawa### F.$Hashimoto### N$Hanawa### S.$Tanaka### T.$Ohdaira### T.$Saito### M.$Haruyama### Y.$Shirai### T., Single-### Double- and Triple-Electron Capture Cross Sections for Multicharged Slow Carbon Ions in H2### CH4### C2H6### C3H8 and CO2 Molecules, J. Phys. Soc. Jpn.,64,3255,1995, C+ + CO2 --> C
C,10108, charge transfer,HCX, E, CS, C,2, CO2,0,, C+, eV, cm2, 1995C352, Itoh### A.$Imanishi### N.$Fukuzawa### F.$Hashimoto### N$Hanawa### S.$Tanaka### T.$Ohdaira### T.$Saito### M.$Haruyama### Y.$Shirai### T., Single-### Double- and Triple-Electron Capture Cross Sections for Multicharged Slow Carbon Ions in H2### CH4### C2H6### C3H8 and CO2 Molecules, J. Phys. Soc. Jpn.,64,3255,1995, C2+ + CO2 --> C+
C,10109, charge transfer,HCX, E, CS, C,2, CO2,0,, C, eV, cm2, 1995C352, Itoh### A.$Imanishi### N.$Fukuzawa### F.$Hashimoto### N$Hanawa### S.$Tanaka### T.$Ohdaira### T.$Saito### M.$Haruyama### Y.$Shirai### T., Single-### Double- and Triple-Electron Capture Cross Sections for Multicharged Slow Carbon Ions in H2### CH4### C2H6### C3H8 and CO2 Molecules, J. Phys. Soc. Jpn.,64,3255,1995, C2+ + CO2 --> C
C,10110, charge transfer,HCX, E, CS, C,3, CO2,0,, C2+, eV, cm2, 1995C352, Itoh### A.$Imanishi### N.$Fukuzawa### F.$Hashimoto### N$Hanawa### S.$Tanaka### T.$Ohdaira### T.$Saito### M.$Haruyama### Y.$Shirai### T., Single-### Double- and Triple-Electron Capture Cross Sections for Multicharged Slow Carbon Ions in H2### CH4### C2H6### C3H8 and CO2 Molecules, J. Phys. Soc. Jpn.,64,3255,1995, C3+ + CO2 --> C2+
C,10111, charge transfer,HCX, E, CS, C,3, CO2,0,, C+, eV, cm2, 1995C352, Itoh### A.$Imanishi### N.$Fukuzawa### F.$Hashimoto### N$Hanawa### S.$Tanaka### T.$Ohdaira### T.$Saito### M.$Haruyama### Y.$Shirai### T., Single-### Double- and Triple-Electron Capture Cross Sections for Multicharged Slow Carbon Ions in H2### CH4### C2H6### C3H8 and CO2 Molecules, J. Phys. Soc. Jpn.,64,3255,1995, C3+ + CO2 --> C+
C,10112, charge transfer,HCX, E, CS, C,3, CO2,0,, C, eV, cm2, 1995C352, Itoh### A.$Imanishi### N.$Fukuzawa### F.$Hashimoto### N$Hanawa### S.$Tanaka### T.$Ohdaira### T.$Saito### M.$Haruyama### Y.$Shirai### T., Single-### Double- and Triple-Electron Capture Cross Sections for Multicharged Slow Carbon Ions in H2### CH4### C2H6### C3H8 and CO2 Molecules, J. Phys. Soc. Jpn.,64,3255,1995, C3+ + CO2 --> C
C,10144, charge transfer,HCX, E, CS, C,1, D2,0,, C, eV, cm2, 1999C353, Kusakabe### T.$Hosomi### K.$Nakanishi### H.$Tawara### H.$Sasao### M.$Nakai### Y$Kimura### M, Charge-transfer processes in collision of ground-state C+ ions with H2### D2### CO### and CO2 molecules in the energy range from 0.15 to 4.5 keV, Phys. Rev. A,60,344,1999, C+ + D2 --> C
C,10145, charge transfer,HCX, E, CS, C,1, CO,0,, C, eV, cm2, 1999C353, Kusakabe### T.$Hosomi### K.$Nakanishi### H.$Tawara### H.$Sasao### M.$Nakai### Y$Kimura### M, Charge-transfer processes in collision of ground-state C+ ions with H2### D2### CO### and CO2 molecules in the energy range from 0.15 to 4.5 keV, Phys. Rev. A,60,344,1999, C+ + CO --> C
C,10147, charge transfer,HCX, T, CS, C,1, H2,0,, C, eV, cm2, 1999C353, Kusakabe### T.$Hosomi### K.$Nakanishi### H.$Tawara### H.$Sasao### M.$Nakai### Y$Kimura### M, Charge-transfer processes in collision of ground-state C+ ions with H2### D2### CO### and CO2 molecules in the energy range from 0.15 to 4.5 keV, Phys. Rev. A,60,344,1999, C+ (2P) + H2 --> C
C,10148, charge transfer,HCX, T, CS, C,1, CO,0,, C, eV, cm2, 1999C353, Kusakabe### T.$Hosomi### K.$Nakanishi### H.$Tawara### H.$Sasao### M.$Nakai### Y$Kimura### M, Charge-transfer processes in collision of ground-state C+ ions with H2### D2### CO### and CO2 molecules in the energy range from 0.15 to 4.5 keV, Phys. Rev. A,60,344,1999, C+ (2P) + CO --> C
C,10151, charge transfer,HCX, E, CS, C,1, N2,0,, C;N2+, eV, cm2, 1992C382, Rottmann### L.M.$Bruch### R.$Neil### P.$Drexler### C.$Dubois### R.D.$Toburen### L.H., Single-electron capture by 100-1500-keV C+ ions in several atomic and molecular targets, Phys. Rev. A,46,3883,1992, C+ + N2 --> C+N2+
C,10152, charge transfer,HCX, E, CS, C,1, O2,0,, C;O2+, eV, cm2, 1992C382, Rottmann### L.M.$Bruch### R.$Neil### P.$Drexler### C.$Dubois### R.D.$Toburen### L.H., Single-electron capture by 100-1500-keV C+ ions in several atomic and molecular targets, Phys. Rev. A,46,3883,1992, C+ + O2 --> C+O2+
C,10153, charge transfer,HCX, E, CS, C,1, C2H6,0,, C;C2H6+, eV, cm2, 1992C382, Rottmann### L.M.$Bruch### R.$Neil### P.$Drexler### C.$Dubois### R.D.$Toburen### L.H., Single-electron capture by 100-1500-keV C+ ions in several atomic and molecular targets, Phys. Rev. A,46,3883,1992, C+ + C2H6 --> C+C2H6+
C,10154, charge transfer,HCX, E, CS, C,1, CO,0,, C;CO+, eV, cm2, 1992C382, Rottmann### L.M.$Bruch### R.$Neil### P.$Drexler### C.$Dubois### R.D.$Toburen### L.H., Single-electron capture by 100-1500-keV C+ ions in several atomic and molecular targets, Phys. Rev. A,46,3883,1992, C+ + CO --> C+CO+
C,10155, charge transfer,HCX, E, CS, C,1, NH3,0,, C;NH3+, eV, cm2, 1992C382, Rottmann### L.M.$Bruch### R.$Neil### P.$Drexler### C.$Dubois### R.D.$Toburen### L.H., Single-electron capture by 100-1500-keV C+ ions in several atomic and molecular targets, Phys. Rev. A,46,3883,1992, C+ + NH3 --> C+NH3+
C,10156, charge transfer,HCX, E, CS, C,1, (CH3)2NH,0,, C;(CH3)NH+, eV, cm2, 1992C382, Rottmann### L.M.$Bruch### R.$Neil### P.$Drexler### C.$Dubois### R.D.$Toburen### L.H., Single-electron capture by 100-1500-keV C+ ions in several atomic and molecular targets, Phys. Rev. A,46,3883,1992, C+ + (CH3)2NH --> C+(CH3)NH+
C,10157, charge transfer,HCX, E, CS, C,1, CH4,0,, C;CH4+, eV, cm2, 1992C382, Rottmann### L.M.$Bruch### R.$Neil### P.$Drexler### C.$Dubois### R.D.$Toburen### L.H., Single-electron capture by 100-1500-keV C+ ions in several atomic and molecular targets, Phys. Rev. A,46,3883,1992, C+ + CH4 --> C+CH4+
C,10158, charge transfer,HCX, E, CS, C,4, CH4,0,, C3+, eV, cm2, 1993C354, Soejima### K.$Okuno### K.$Kaneko### Y, Multi-electron-capture Processes by C4+ from CH4### C2H6### C3H8 and n-C4H10 in the Energy range 0.7-400 eV u-1, Org. Mas. Sp.,28,344,1993, C4+ + CH4 --> C3+
C,10159, charge transfer,HCX, E, CS, C,4, CH4,0,, C2+, eV, cm2, 1993C354, Soejima### K.$Okuno### K.$Kaneko### Y, Multi-electron-capture Processes by C4+ from CH4### C2H6### C3H8 and n-C4H10 in the Energy range 0.7-400 eV u-1, Org. Mas. Sp.,28,344,1993, C4+ + CH4 --> C2+
C,10160, charge transfer,HCX, E, CS, C,4, CH4,0,, C+, eV, cm2, 1993C354, Soejima### K.$Okuno### K.$Kaneko### Y, Multi-electron-capture Processes by C4+ from CH4### C2H6### C3H8 and n-C4H10 in the Energy range 0.7-400 eV u-1, Org. Mas. Sp.,28,344,1993, C4+ + CH4 --> C+
C,10161, charge transfer,HCX, E, CS, C,4, C2H6,0,, C3+, eV, cm2, 1993C354, Soejima### K.$Okuno### K.$Kaneko### Y, Multi-electron-capture Processes by C4+ from CH4### C2H6### C3H8 and n-C4H10 in the Energy range 0.7-400 eV u-1, Org. Mas. Sp.,28,344,1993, C4+ + C2H6 --> C3+
C,10162, charge transfer,HCX, E, CS, C,4, C2H6,0,, C2+, eV, cm2, 1993C354, Soejima### K.$Okuno### K.$Kaneko### Y, Multi-electron-capture Processes by C4+ from CH4### C2H6### C3H8 and n-C4H10 in the Energy range 0.7-400 eV u-1, Org. Mas. Sp.,28,344,1993, C4+ + C2H6 --> C2+
C,10163, charge transfer,HCX, E, CS, C,4, C2H6,0,, C+, eV, cm2, 1993C354, Soejima### K.$Okuno### K.$Kaneko### Y, Multi-electron-capture Processes by C4+ from CH4### C2H6### C3H8 and n-C4H10 in the Energy range 0.7-400 eV u-1, Org. Mas. Sp.,28,344,1993, C4+ + C2H6 --> C+
C,10164, charge transfer,HCX, E, CS, C,4, C3H8,0,, C3+, eV, cm2, 1993C354, Soejima### K.$Okuno### K.$Kaneko### Y, Multi-electron-capture Processes by C4+ from CH4### C2H6### C3H8 and n-C4H10 in the Energy range 0.7-400 eV u-1, Org. Mas. Sp.,28,344,1993, C4+ + C3H8 --> C3+
C,10165, charge transfer,HCX, E, CS, C,4, C3H8,0,, C2+, eV, cm2, 1993C354, Soejima### K.$Okuno### K.$Kaneko### Y, Multi-electron-capture Processes by C4+ from CH4### C2H6### C3H8 and n-C4H10 in the Energy range 0.7-400 eV u-1, Org. Mas. Sp.,28,344,1993, C4+ + C3H8 --> C2+
C,10166, charge transfer,HCX, E, CS, C,4, C3H8,0,, C+, eV, cm2, 1993C354, Soejima### K.$Okuno### K.$Kaneko### Y, Multi-electron-capture Processes by C4+ from CH4### C2H6### C3H8 and n-C4H10 in the Energy range 0.7-400 eV u-1, Org. Mas. Sp.,28,344,1993, C4+ + C3H8 --> C+
C,10167, charge transfer,HCX, E, CS, C,4, n-C4H10,0,, C3+, eV, cm2, 1993C354, Soejima### K.$Okuno### K.$Kaneko### Y, Multi-electron-capture Processes by C4+ from CH4### C2H6### C3H8 and n-C4H10 in the Energy range 0.7-400 eV u-1, Org. Mas. Sp.,28,344,1993, C4+ + n-C4H10 --> C3+
C,10168, charge transfer,HCX, E, CS, C,4, n-C4H10,0,, C2+, eV, cm2, 1993C354, Soejima### K.$Okuno### K.$Kaneko### Y, Multi-electron-capture Processes by C4+ from CH4### C2H6### C3H8 and n-C4H10 in the Energy range 0.7-400 eV u-1, Org. Mas. Sp.,28,344,1993, C4+ + n-C4H10 --> C2+
C,10169, charge transfer,HCX, E, CS, C,4, n-C4H10,0,, C+, eV, cm2, 1993C354, Soejima### K.$Okuno### K.$Kaneko### Y, Multi-electron-capture Processes by C4+ from CH4### C2H6### C3H8 and n-C4H10 in the Energy range 0.7-400 eV u-1, Org. Mas. Sp.,28,344,1993, C4+ + n-C4H10 --> C+
C,10221, charge transfer,HCX, E, CS, C,1, C3H4,0,, C(3P);C3H4+, eV, cm2,2.00E+305, Kusakabe### T.$Satoh### S.$Tawara### H.$Kimura### M., Observation of the Isomer Effect on Charge Transfer from C3H4 Molecules (Allene and Propyne) at keV Energies, Phys. Rev. Lett.,87, 243201-1 - 243201-4,2001, C+ + C3H4 --> C(3P)+C3H4+
C,10424, rearrangement;atom abstraction,, E, CS, C,1, N2,0,, CN+;N, eV, cm2, 1991C395, Burley### J.D.$Sunderlin### L.S.$Armentrout### P.B., Kinetic-energy dependence of the reactions of C+(2P)+ N2 from threshold to 28 eV CM, J. Chem. Phys.,94, 1939-1946,1991, C+ (2P) + N2 --> CN++N
C,10425, rearrangement;abstraction-charge exchange.,, E, CS, C,1, N2,0,, N+;CN, eV, cm2, 1991C395, Burley### J.D.$Sunderlin### L.S.$Armentrout### P.B., Kinetic-energy dependence of the reactions of C+(2P)+ N2 from threshold to 28 eV CM, J. Chem. Phys.,94, 1939-1946,1991, C+ (2P) + N2 --> N++CN
C,10542, rearrangement,, E, CS, C,1, CO2,0,, CO+;CO, eV, cm2, 1976C362, Rutherford### J.A.$Vroom### D.A., A study of the reactions of C+ and O+ with carbon dioxide, J. Chem. Phys.,64,3057,1976, C+ + CO2 --> CO++CO
C,10544, charge transfer,HCX, E, CS, C,5, CH4,0,, C4+, eV, cm2, 1984C355, Woods### C.J.$Sofield### C.J.$Cowern### N.E.B.$Murell### M.$Draper### J., Comparison of charge-changing cross sections in gaseous and solid targets, J. Phys. B,17,867,1984, C5+ + CH4 --> C4+
C,10545, charge transfer,HCX, E, CS, C,6, CH4,0,, C4+, eV, cm2, 1984C355, Woods### C.J.$Sofield### C.J.$Cowern### N.E.B.$Murell### M.$Draper### J., Comparison of charge-changing cross sections in gaseous and solid targets, J. Phys. B,17,867,1984, C6+ + CH4 --> C4+
C,10546, charge transfer,HCX, E, CS, C,6, CH4,0,, C5+, eV, cm2, 1984C355, Woods### C.J.$Sofield### C.J.$Cowern### N.E.B.$Murell### M.$Draper### J., Comparison of charge-changing cross sections in gaseous and solid targets, J. Phys. B,17,867,1984, C6+ + CH4 --> C5+
C,10547, charge transfer,HCX, E, CS, C,5, C2H6,0,, C4+, eV, cm2, 1984C355, Woods### C.J.$Sofield### C.J.$Cowern### N.E.B.$Murell### M.$Draper### J., Comparison of charge-changing cross sections in gaseous and solid targets, J. Phys. B,17,867,1984, C5+ + C2H6 --> C4+
C,10548, charge transfer,HCX, E, CS, C,6, C2H6,0,, C4+, eV, cm2, 1984C355, Woods### C.J.$Sofield### C.J.$Cowern### N.E.B.$Murell### M.$Draper### J., Comparison of charge-changing cross sections in gaseous and solid targets, J. Phys. B,17,867,1984, C6+ + C2H6 --> C4+
C,10549, charge transfer,HCX, E, CS, C,6, C2H6,0,, C5+, eV, cm2, 1984C355, Woods### C.J.$Sofield### C.J.$Cowern### N.E.B.$Murell### M.$Draper### J., Comparison of charge-changing cross sections in gaseous and solid targets, J. Phys. B,17,867,1984, C6+ + C2H6 --> C5+
C,10550, charge transfer,HCX, E, CS, C,5, C2H4,0,, C4+, eV, cm2, 1984C355, Woods### C.J.$Sofield### C.J.$Cowern### N.E.B.$Murell### M.$Draper### J., Comparison of charge-changing cross sections in gaseous and solid targets, J. Phys. B,17,867,1984, C5+ + C2H4 --> C4+
C,10551, charge transfer,HCX, E, CS, C,6, C2H4,0,, C4+, eV, cm2, 1984C355, Woods### C.J.$Sofield### C.J.$Cowern### N.E.B.$Murell### M.$Draper### J., Comparison of charge-changing cross sections in gaseous and solid targets, J. Phys. B,17,867,1984, C6+ + C2H4 --> C4+
C,10552, charge transfer,HCX, E, CS, C,6, C2H4,0,, C5+, eV, cm2, 1984C355, Woods### C.J.$Sofield### C.J.$Cowern### N.E.B.$Murell### M.$Draper### J., Comparison of charge-changing cross sections in gaseous and solid targets, J. Phys. B,17,867,1984, C6+ + C2H4 --> C5+
C,10553, charge transfer,HCX, E, CS, C,5, C2H2,0,, C4+, eV, cm2, 1984C355, Woods### C.J.$Sofield### C.J.$Cowern### N.E.B.$Murell### M.$Draper### J., Comparison of charge-changing cross sections in gaseous and solid targets, J. Phys. B,17,867,1984, C5+ + C2H2 --> C4+
C,10554, charge transfer,HCX, E, CS, C,6, C2H2,0,, C4+, eV, cm2, 1984C355, Woods### C.J.$Sofield### C.J.$Cowern### N.E.B.$Murell### M.$Draper### J., Comparison of charge-changing cross sections in gaseous and solid targets, J. Phys. B,17,867,1984, C6+ + C2H2 --> C4+
C,10555, charge transfer,HCX, E, CS, C,6, C2H2,0,, C5+, eV, cm2, 1984C355, Woods### C.J.$Sofield### C.J.$Cowern### N.E.B.$Murell### M.$Draper### J., Comparison of charge-changing cross sections in gaseous and solid targets, J. Phys. B,17,867,1984, C6+ + C2H2 --> C5+
C,10556, ionization,HIN, E, CS, C,4, CH4,0,, C5+, eV, cm2, 1984C355, Woods### C.J.$Sofield### C.J.$Cowern### N.E.B.$Murell### M.$Draper### J., Comparison of charge-changing cross sections in gaseous and solid targets, J. Phys. B,17,867,1984, C4+ + CH4 --> C5+
C,10557, ionization,HIN, E, CS, C,4, CH4,0,, C6+, eV, cm2, 1984C355, Woods### C.J.$Sofield### C.J.$Cowern### N.E.B.$Murell### M.$Draper### J., Comparison of charge-changing cross sections in gaseous and solid targets, J. Phys. B,17,867,1984, C4+ + CH4 --> C6+
C,10558, ionization,HIN, E, CS, C,5, CH4,0,, C6+, eV, cm2, 1984C355, Woods### C.J.$Sofield### C.J.$Cowern### N.E.B.$Murell### M.$Draper### J., Comparison of charge-changing cross sections in gaseous and solid targets, J. Phys. B,17,867,1984, C5+ + CH4 --> C6+
C,10559, ionization,HIN, E, CS, C,5, C2H6,0,, C6+, eV, cm2, 1984C355, Woods### C.J.$Sofield### C.J.$Cowern### N.E.B.$Murell### M.$Draper### J., Comparison of charge-changing cross sections in gaseous and solid targets, J. Phys. B,17,867,1984, C5+ + C2H6 --> C6+
C,10560, ionization,HIN, E, CS, C,5, C2H4,0,, C6+, eV, cm2, 1984C355, Woods### C.J.$Sofield### C.J.$Cowern### N.E.B.$Murell### M.$Draper### J., Comparison of charge-changing cross sections in gaseous and solid targets, J. Phys. B,17,867,1984, C5+ + C2H4 --> C6+
C,10561, ionization,HIN, E, CS, C,4, C2H2,0,, C5+, eV, cm2, 1984C355, Woods### C.J.$Sofield### C.J.$Cowern### N.E.B.$Murell### M.$Draper### J., Comparison of charge-changing cross sections in gaseous and solid targets, J. Phys. B,17,867,1984, C4+ + C2H2 --> C5+
C,10562, ionization,HIN, E, CS, C,4, C2H2,0,, C6+, eV, cm2, 1984C355, Woods### C.J.$Sofield### C.J.$Cowern### N.E.B.$Murell### M.$Draper### J., Comparison of charge-changing cross sections in gaseous and solid targets, J. Phys. B,17,867,1984, C4+ + C2H2 --> C6+
C,10563, ionization,HIN, E, CS, C,5, C2H2,0,, C6+, eV, cm2, 1984C355, Woods### C.J.$Sofield### C.J.$Cowern### N.E.B.$Murell### M.$Draper### J., Comparison of charge-changing cross sections in gaseous and solid targets, J. Phys. B,17,867,1984, C5+ + C2H2 --> C6+
C,10565, charge transfer,HCX, E, CS, C,1, N2,0,, C, eV, cm2, 1978C350, Moran### T.F.$Wilcox### J.B, Charge transfer reactions of ground C+(2P) and excited C+(4P) state ions with neutral molecules, J. Chem. Phys.,68,2855,1978, C+ (2P) + N2 --> C
C,10567, charge transfer,HCX, E, CS, C,1, CO2,0,, C, eV, cm2, 1978C350, Moran### T.F.$Wilcox### J.B, Charge transfer reactions of ground C+(2P) and excited C+(4P) state ions with neutral molecules, J. Chem. Phys.,68,2855,1978, C+ (2P) + CO2 --> C
C,10568, charge transfer,HCX, E, CS, C,1, O2,0,, C, eV, cm2, 1978C350, Moran### T.F.$Wilcox### J.B, Charge transfer reactions of ground C+(2P) and excited C+(4P) state ions with neutral molecules, J. Chem. Phys.,68,2855,1978, C+ (2P) + O2 --> C
C,12067, charge exchange,, E, CS, C,0, H3,1,, CH2+;H, eV, cm2,2.02E+304, O'Conner### A.P.$Urbain### X.$Stutzel### J.$Miller### K.A.$de Ruette### N.$Savin### D.W., Reaction studies of neutral atomic C with H3+ using a merged-beams apparatus, Astrophys. J.,219,6,2015, C + H3+ --> CH2++H
C2H,10017, charge transfer,HCX, T, CS, C2H,0, H,1,,, eV, cm2, 2001T301, Janev### R.K.$Wang### J.G.$Kato### T., Cross Sections and Rate Coefficients for Charge Exchange Reactions of Protons with Hydrocarbon Molecules, NIFS-DATA,64,,2001, C2H + H+ --> (total)
C2H2,10016, charge transfer,HCX, T, CS, C2H2,0, H,1,,, eV, cm2, 2001T301, Janev### R.K.$Wang### J.G.$Kato### T., Cross Sections and Rate Coefficients for Charge Exchange Reactions of Protons with Hydrocarbon Molecules, NIFS-DATA,64,,2001, C2H2 + H+ --> (total)
C2H3,10015, charge transfer,HCX, T, CS, C2H3,0, H,1,,, eV, cm2, 2001T301, Janev### R.K.$Wang### J.G.$Kato### T., Cross Sections and Rate Coefficients for Charge Exchange Reactions of Protons with Hydrocarbon Molecules, NIFS-DATA,64,,2001, C2H3 + H+ --> (total)
C2H4,10014, charge transfer,HCX, T, CS, C2H4,0, H,1,,, eV, cm2, 2001T301, Janev### R.K.$Wang### J.G.$Kato### T., Cross Sections and Rate Coefficients for Charge Exchange Reactions of Protons with Hydrocarbon Molecules, NIFS-DATA,64,,2001, C2H4 + H+ --> (total)
C2H5,10013, charge transfer,HCX, T, CS, C2H5,0, H,1,,, eV, cm2, 2001T301, Janev### R.K.$Wang### J.G.$Kato### T., Cross Sections and Rate Coefficients for Charge Exchange Reactions of Protons with Hydrocarbon Molecules, NIFS-DATA,64,,2001, C2H5 + H+ --> (total)
C2H6,10012, charge transfer,HCX, T, CS, C2H6,0, H,1,,, eV, cm2, 2001T301, Janev### R.K.$Wang### J.G.$Kato### T., Cross Sections and Rate Coefficients for Charge Exchange Reactions of Protons with Hydrocarbon Molecules, NIFS-DATA,64,,2001, C2H6 + H+ --> (total)
C3H,10025, charge transfer,HCX, T, CS, C3H,0, H,1,,, eV, cm2, 2001T301, Janev### R.K.$Wang### J.G.$Kato### T., Cross Sections and Rate Coefficients for Charge Exchange Reactions of Protons with Hydrocarbon Molecules, NIFS-DATA,64,,2001, C3H + H+ --> (total)
C3H2,10024, charge transfer,HCX, T, CS, C3H2,0, H,1,,, eV, cm2, 2001T301, Janev### R.K.$Wang### J.G.$Kato### T., Cross Sections and Rate Coefficients for Charge Exchange Reactions of Protons with Hydrocarbon Molecules, NIFS-DATA,64,,2001, C3H2 + H+ --> (total)
C3H3,10023, charge transfer,HCX, T, CS, C3H3,0, H,1,,, eV, cm2, 2001T301, Janev### R.K.$Wang### J.G.$Kato### T., Cross Sections and Rate Coefficients for Charge Exchange Reactions of Protons with Hydrocarbon Molecules, NIFS-DATA,64,,2001, C3H3 + H+ --> (total)
C3H4,10022, charge transfer,HCX, T, CS, C3H4,0, H,1,,, eV, cm2, 2001T301, Janev### R.K.$Wang### J.G.$Kato### T., Cross Sections and Rate Coefficients for Charge Exchange Reactions of Protons with Hydrocarbon Molecules, NIFS-DATA,64,,2001, C3H4 + H+ --> (total)
C3H5,10021, charge transfer,HCX, T, CS, C3H5,0, H,1,,, eV, cm2, 2001T301, Janev### R.K.$Wang### J.G.$Kato### T., Cross Sections and Rate Coefficients for Charge Exchange Reactions of Protons with Hydrocarbon Molecules, NIFS-DATA,64,,2001, C3H5 + H+ --> (total)
C3H6,10020, charge transfer,HCX, T, CS, C3H6,0, H,1,,, eV, cm2, 2001T301, Janev### R.K.$Wang### J.G.$Kato### T., Cross Sections and Rate Coefficients for Charge Exchange Reactions of Protons with Hydrocarbon Molecules, NIFS-DATA,64,,2001, C3H6 + H+ --> (total)
C3H7,10019, charge transfer,HCX, T, CS, C3H7,0, H,1,,, eV, cm2, 2001T301, Janev### R.K.$Wang### J.G.$Kato### T., Cross Sections and Rate Coefficients for Charge Exchange Reactions of Protons with Hydrocarbon Molecules, NIFS-DATA,64,,2001, C3H7 + H+ --> (total)
C3H8,10018, charge transfer,HCX, T, CS, C3H8,0, H,1,,, eV, cm2, 2001T301, Janev### R.K.$Wang### J.G.$Kato### T., Cross Sections and Rate Coefficients for Charge Exchange Reactions of Protons with Hydrocarbon Molecules, NIFS-DATA,64,,2001, C3H8 + H+ --> (total)
C4H10,10026, charge transfer,HCX, T, CS, C4H10,0, H,1,,, eV, cm2, 2001T301, Janev### R.K.$Wang### J.G.$Kato### T., Cross Sections and Rate Coefficients for Charge Exchange Reactions of Protons with Hydrocarbon Molecules, NIFS-DATA,64,,2001, C4H10 + H+ --> (total)
CH,10011, charge transfer,HCX, T, CS, CH,0, H,1,,, eV, cm2, 2001T301, Janev### R.K.$Wang### J.G.$Kato### T., Cross Sections and Rate Coefficients for Charge Exchange Reactions of Protons with Hydrocarbon Molecules, NIFS-DATA,64,,2001, CH + H+ --> (total)
CH2,10010, charge transfer,HCX, T, CS, CH2,0, H,1,,, eV, cm2, 2001T301, Janev### R.K.$Wang### J.G.$Kato### T., Cross Sections and Rate Coefficients for Charge Exchange Reactions of Protons with Hydrocarbon Molecules, NIFS-DATA,64,,2001, CH2 + H+ --> (total)
CH3,10009, charge transfer,HCX, T, CS, CH3,0, H,1,,, eV, cm2, 2001T301, Janev### R.K.$Wang### J.G.$Kato### T., Cross Sections and Rate Coefficients for Charge Exchange Reactions of Protons with Hydrocarbon Molecules, NIFS-DATA,64,,2001, CH3 + H+ --> (total)
CH4,10008, charge transfer,HCX, T, CS, CH4,0, H,1,,, eV, cm2, 2001T301, Janev### R.K.$Wang### J.G.$Kato### T., Cross Sections and Rate Coefficients for Charge Exchange Reactions of Protons with Hydrocarbon Molecules, NIFS-DATA,64,,2001, CH4 + H+ --> (total)
D,10034, charge transfer,HCX, E, CS, D,1, CO,0,, D;CO+, eV, cm2, 1970C368, Berkner### K.H.$Pyle### R.V.$Stearns### J.W., Cross-sections for electron capture by 0.3- to 70-keV deuterons in H2### H2O### CO### CH4 and C8F16 gases, Nucl. Fusion,10,145,1970, D+ + CO --> D+CO+
D,10035, charge transfer,HCX, E, CS, D,1, CH4,0,, D;CH4+, eV, cm2, 1970C368, Berkner### K.H.$Pyle### R.V.$Stearns### J.W., Cross-sections for electron capture by 0.3- to 70-keV deuterons in H2### H2O### CO### CH4 and C8F16 gases, Nucl. Fusion,10,145,1970, D+ + CH4 --> D+CH4+
D,10036, charge transfer,HCX, E, CS, D,1, H2O,0,, D;H2O+, eV, cm2, 1970C368, Berkner### K.H.$Pyle### R.V.$Stearns### J.W., Cross-sections for electron capture by 0.3- to 70-keV deuterons in H2### H2O### CO### CH4 and C8F16 gases, Nucl. Fusion,10,145,1970, D+ + H2O --> D+H2O+
D,10037, charge transfer,HCX, E, CS, D,1, C8F16,0,, H;C8F16+, eV, cm2, 1970C368, Berkner### K.H.$Pyle### R.V.$Stearns### J.W., Cross-sections for electron capture by 0.3- to 70-keV deuterons in H2### H2O### CO### CH4 and C8F16 gases, Nucl. Fusion,10,145,1970, D+ + C8F16 --> H+C8F16+
D,10341, charge transfer,HCX, T, CS, D,1, H2,0,, D;H2+, eV, cm2, 2000T302, Ichihara### A.$Iwamoto### O.$Janev### R.K., Cross sections for the reaction H+ + H2 (v, J. Phys. B,33, 4747-4758,2000, D+ (v=5###j=1) + H2 --> D+H2+
D,10343, charge transfer,HCX, T, CS, D,1, D2,0,, D;D2+, eV, cm2, 2000T302, Ichihara### A.$Iwamoto### O.$Janev### R.K., Cross sections for the reaction H+ + H2 (v, J. Phys. B,33, 4747-4758,2000, D+ (v=7###j=1) + D2 --> D+D2+
D,10391, dissociation;ionization;dissociative ionization,HDI, T, CS, D,1, H2,0,, H+, eV, cm2, 2000T303, Ichihara### A.,, Private Communication,,,2000, D+ (v=5###j=1) + H2 --> H+
D,10392, particle rearrangement;association;dissociation,, T, CS, D,1, H2,0,, HD+;H, eV, cm2, 2000T303, Ichihara### A.,, Private Communication,,,2000, D+ (v=5###j=1) + H2 --> HD++H
