specie,id_number,categorize,collision_data_categorize,collision_type,collision_process,sub_process,Process,QDB Process,Original X Unit,Original Y Unit,Theory_Experiment_Recommendation,reaction_formula,reference_number,author,title_of_record,journal_name,volume_and_issue_No,page_number,date_of_publication
C,B201225321,Collision Processes,Rate Coefficient,Heavy Particle Impact,Excitation,Electronic,Excitation; Electronic,HEX, K, cm3/s,Theoretical Data,H + C(3P0) -> H + C(3P2),2012001303,E. Abrahamsson### R. V. Krems### A. Dalgarno,FINE-STRUCTURE EXCITATION OF O i AND C i BY IMPACT WITH ATOMIC HYDROGEN,Astrophys. J.,654,1171,2007
C,B201225322,Collision Processes,Rate Coefficient,Heavy Particle Impact,Excitation,Electronic,Excitation; Electronic,HEX, K, cm3/s,Theoretical Data,H + C(3P1) -> H + C(3P2),2012001303,E. Abrahamsson### R. V. Krems### A. Dalgarno,FINE-STRUCTURE EXCITATION OF O i AND C i BY IMPACT WITH ATOMIC HYDROGEN,Astrophys. J.,654,1171,2007
C,B201225512,Collision Processes,Rate Coefficient,Heavy Particle Impact,Charge Transfer,Charge Transfer,Charge Transfer; Charge Transfer,HCX, K, cm3/s,Theoretical Data,He+ + C -> He + C+,2012001325,M. KIMURA### A. DALGARNO### L. CHANTRANUPONG### Y. LI### G. HIRSCH### R. J. BUENKER,RATE COEFFICIENTS FOR CHARGE TRANSFER OF He+ WITH C,Astrophys. J.,417,812,1993
C,B201225519,Collision Processes,Rate Coefficient,Heavy Particle Impact,Charge Transfer,Charge Transfer,Charge Transfer; Charge Transfer,HCX, K, cm3/s,Theoretical Data,H+ + C -> C+ + H,2012001329,P. C. STANCIL### C. C. HAVENER### P. S. KRSTIC###  D. R. SCHULTZ,CHARGE TRANSFER IN COLLISIONS OF C+ WITH H AND H+ WITH C,Astrophys. J.,502,1006,1998
C,B201865968,Collision Processes,Rate Coefficient,Heavy Particle Impact,Reaction,Particle Interchange,Reaction; Particle Interchange,HIR, K, cm3/s,Experimental Data,HCN + C1+ -> C2N1+ + H,2018000309,D.C. Clary### D. Smith### N.G. Adams,Temperature dependence of rate coefficients for reactions of ions with dipolar molecules,Chemical Physics Letters,119,320,1985
C,B201865969,Collision Processes,Rate Coefficient,Heavy Particle Impact,Reaction,Particle Interchange,Reaction; Particle Interchange,HIR, K, cm3/s,Theoretical Data,HCN + C1+ -> C2N1+ + H,2018000309,D.C. Clary### D. Smith### N.G. Adams,Temperature dependence of rate coefficients for reactions of ions with dipolar molecules,Chemical Physics Letters,119,320,1985
C,B201866192,Collision Processes,Cross Section,Heavy Particle Impact,Charge Transfer,Single,Charge Transfer; Single,HCX, eV, cm2,Recommended Data,H(1s) + C6+ -> H1+ + C6+,2018000195,R. K. Janev### B. H. Bransden### and J. W. Gallagher,Evaluated Theoretical Cross Section Data for Charge Exchange of Multiply Charged Ions with Atoms. I. Hydrogen Atom‐Fully Stripped Ion Systems,J. Phys. Chem. Ref. Data,12,829,1983
C,B201866193,Collision Processes,Cross Section,Heavy Particle Impact,Charge Transfer,Single,Charge Transfer; Single,HCX, eV, cm2,Recommended Data,H(1s) + C6+ -> H1+ + C6+,2018000195,R. K. Janev### B. H. Bransden### and J. W. Gallagher,Evaluated Theoretical Cross Section Data for Charge Exchange of Multiply Charged Ions with Atoms. I. Hydrogen Atom‐Fully Stripped Ion Systems,J. Phys. Chem. Ref. Data,12,829,1983
C,B201866194,Collision Processes,Cross Section,Heavy Particle Impact,Charge Transfer,Single,Charge Transfer; Single,HCX, eV, cm2,Recommended Data,H(1s) + C6+ -> H1+ + C6+,2018000195,R. K. Janev### B. H. Bransden### and J. W. Gallagher,Evaluated Theoretical Cross Section Data for Charge Exchange of Multiply Charged Ions with Atoms. I. Hydrogen Atom‐Fully Stripped Ion Systems,J. Phys. Chem. Ref. Data,12,829,1983
C,B201866195,Collision Processes,Cross Section,Heavy Particle Impact,Charge Transfer,Single,Charge Transfer; Single,HCX, eV, cm2,Recommended Data,H(1s) + C6+ -> H1+ + C6+,2018000195,R. K. Janev### B. H. Bransden### and J. W. Gallagher,Evaluated Theoretical Cross Section Data for Charge Exchange of Multiply Charged Ions with Atoms. I. Hydrogen Atom‐Fully Stripped Ion Systems,J. Phys. Chem. Ref. Data,12,829,1983
C,B201866196,Collision Processes,Cross Section,Heavy Particle Impact,Charge Transfer,Single,Charge Transfer; Single,HCX, eV, cm2,Recommended Data,H(1s) + C6+ -> H1+ + C6+,2018000195,R. K. Janev### B. H. Bransden### and J. W. Gallagher,Evaluated Theoretical Cross Section Data for Charge Exchange of Multiply Charged Ions with Atoms. I. Hydrogen Atom‐Fully Stripped Ion Systems,J. Phys. Chem. Ref. Data,12,829,1983
C,B201866197,Collision Processes,Cross Section,Heavy Particle Impact,Charge Transfer,Single,Charge Transfer; Single,HCX, eV, cm2,Recommended Data,H(1s) + C6+ -> H1+ + C6+,2018000195,R. K. Janev### B. H. Bransden### and J. W. Gallagher,Evaluated Theoretical Cross Section Data for Charge Exchange of Multiply Charged Ions with Atoms. I. Hydrogen Atom‐Fully Stripped Ion Systems,J. Phys. Chem. Ref. Data,12,829,1983
C,B201866452,Collision Processes,Cross Section,Heavy Particle Impact,Charge Transfer,Single,Charge Transfer; Single,HCX, eV, cm2,Recommended Data,H(1s) + C6+ -> H1+(n=3) + C5+,2018000195,R. K. Janev### B. H. Bransden### and J. W. Gallagher,Evaluated Theoretical Cross Section Data for Charge Exchange of Multiply Charged Ions with Atoms. I. Hydrogen Atom‐Fully Stripped Ion Systems,J. Phys. Chem. Ref. Data,12,829,1983
C,B201866453,Collision Processes,Cross Section,Heavy Particle Impact,Charge Transfer,Single,Charge Transfer; Single,HCX, eV, cm2,Recommended Data,H(1s) + C6+ -> H1+(n=4) + C5+,2018000195,R. K. Janev### B. H. Bransden### and J. W. Gallagher,Evaluated Theoretical Cross Section Data for Charge Exchange of Multiply Charged Ions with Atoms. I. Hydrogen Atom‐Fully Stripped Ion Systems,J. Phys. Chem. Ref. Data,12,829,1983
C,B201866454,Collision Processes,Cross Section,Heavy Particle Impact,Charge Transfer,Single,Charge Transfer; Single,HCX, eV, cm2,Recommended Data,H(1s) + C6+ -> H1+(n=5) + C5+,2018000195,R. K. Janev### B. H. Bransden### and J. W. Gallagher,Evaluated Theoretical Cross Section Data for Charge Exchange of Multiply Charged Ions with Atoms. I. Hydrogen Atom‐Fully Stripped Ion Systems,J. Phys. Chem. Ref. Data,12,829,1983
C,B201866455,Collision Processes,Cross Section,Heavy Particle Impact,Charge Transfer,Single,Charge Transfer; Single,HCX, eV, cm2,Recommended Data,H(1s) + C6+ -> H1+(n=3) + C5+,2018000195,R. K. Janev### B. H. Bransden### and J. W. Gallagher,Evaluated Theoretical Cross Section Data for Charge Exchange of Multiply Charged Ions with Atoms. I. Hydrogen Atom‐Fully Stripped Ion Systems,J. Phys. Chem. Ref. Data,12,829,1983
C,B201866456,Collision Processes,Cross Section,Heavy Particle Impact,Charge Transfer,Single,Charge Transfer; Single,HCX, eV, cm2,Recommended Data,H(1s) + C6+ -> H1+(n=4) + C5+,2018000195,R. K. Janev### B. H. Bransden### and J. W. Gallagher,Evaluated Theoretical Cross Section Data for Charge Exchange of Multiply Charged Ions with Atoms. I. Hydrogen Atom‐Fully Stripped Ion Systems,J. Phys. Chem. Ref. Data,12,829,1983
C,B201866457,Collision Processes,Cross Section,Heavy Particle Impact,Charge Transfer,Single,Charge Transfer; Single,HCX, eV, cm2,Recommended Data,H(1s) + C6+ -> H1+(n=2) + C5+,2018000195,R. K. Janev### B. H. Bransden### and J. W. Gallagher,Evaluated Theoretical Cross Section Data for Charge Exchange of Multiply Charged Ions with Atoms. I. Hydrogen Atom‐Fully Stripped Ion Systems,J. Phys. Chem. Ref. Data,12,829,1983
C,B201866458,Collision Processes,Cross Section,Heavy Particle Impact,Charge Transfer,Single,Charge Transfer; Single,HCX, eV, cm2,Recommended Data,H(1s) + C6+ -> H1+(n=3) + C5+,2018000195,R. K. Janev### B. H. Bransden### and J. W. Gallagher,Evaluated Theoretical Cross Section Data for Charge Exchange of Multiply Charged Ions with Atoms. I. Hydrogen Atom‐Fully Stripped Ion Systems,J. Phys. Chem. Ref. Data,12,829,1983
C,B201866459,Collision Processes,Cross Section,Heavy Particle Impact,Charge Transfer,Single,Charge Transfer; Single,HCX, eV, cm2,Recommended Data,H(1s) + C6+ -> H1+(n=4) + C5+,2018000195,R. K. Janev### B. H. Bransden### and J. W. Gallagher,Evaluated Theoretical Cross Section Data for Charge Exchange of Multiply Charged Ions with Atoms. I. Hydrogen Atom‐Fully Stripped Ion Systems,J. Phys. Chem. Ref. Data,12,829,1983
C,B201866460,Collision Processes,Cross Section,Heavy Particle Impact,Charge Transfer,Single,Charge Transfer; Single,HCX, eV, cm2,Recommended Data,H(1s) + C6+ -> H1+(n=5) + C5+,2018000195,R. K. Janev### B. H. Bransden### and J. W. Gallagher,Evaluated Theoretical Cross Section Data for Charge Exchange of Multiply Charged Ions with Atoms. I. Hydrogen Atom‐Fully Stripped Ion Systems,J. Phys. Chem. Ref. Data,12,829,1983
C,B201866461,Collision Processes,Cross Section,Heavy Particle Impact,Charge Transfer,Single,Charge Transfer; Single,HCX, eV, cm2,Recommended Data,H(1s) + C6+ -> H1+(n=6) + C5+,2018000195,R. K. Janev### B. H. Bransden### and J. W. Gallagher,Evaluated Theoretical Cross Section Data for Charge Exchange of Multiply Charged Ions with Atoms. I. Hydrogen Atom‐Fully Stripped Ion Systems,J. Phys. Chem. Ref. Data,12,829,1983
C,B201866462,Collision Processes,Cross Section,Heavy Particle Impact,Charge Transfer,Single,Charge Transfer; Single,HCX, eV, cm2,Recommended Data,H(1s) + C6+ -> H1+(n=7) + C5+,2018000195,R. K. Janev### B. H. Bransden### and J. W. Gallagher,Evaluated Theoretical Cross Section Data for Charge Exchange of Multiply Charged Ions with Atoms. I. Hydrogen Atom‐Fully Stripped Ion Systems,J. Phys. Chem. Ref. Data,12,829,1983
C,B201866463,Collision Processes,Cross Section,Heavy Particle Impact,Charge Transfer,Single,Charge Transfer; Single,HCX, eV, cm2,Recommended Data,H(1s) + C6+ -> H1+(n=8) + C5+,2018000195,R. K. Janev### B. H. Bransden### and J. W. Gallagher,Evaluated Theoretical Cross Section Data for Charge Exchange of Multiply Charged Ions with Atoms. I. Hydrogen Atom‐Fully Stripped Ion Systems,J. Phys. Chem. Ref. Data,12,829,1983
C,B201866464,Collision Processes,Cross Section,Heavy Particle Impact,Charge Transfer,Single,Charge Transfer; Single,HCX, eV, cm2,Recommended Data,H(1s) + C6+ -> H1+(n=9) + C5+,2018000195,R. K. Janev### B. H. Bransden### and J. W. Gallagher,Evaluated Theoretical Cross Section Data for Charge Exchange of Multiply Charged Ions with Atoms. I. Hydrogen Atom‐Fully Stripped Ion Systems,J. Phys. Chem. Ref. Data,12,829,1983
C,B201866465,Collision Processes,Cross Section,Heavy Particle Impact,Charge Transfer,Single,Charge Transfer; Single,HCX, eV, cm2,Recommended Data,H(1s) + C6+ -> H1+(n=10) + C5+,2018000195,R. K. Janev### B. H. Bransden### and J. W. Gallagher,Evaluated Theoretical Cross Section Data for Charge Exchange of Multiply Charged Ions with Atoms. I. Hydrogen Atom‐Fully Stripped Ion Systems,J. Phys. Chem. Ref. Data,12,829,1983
C,B201866466,Collision Processes,Cross Section,Heavy Particle Impact,Charge Transfer,Single,Charge Transfer; Single,HCX, eV, cm2,Recommended Data,H(1s) + C6+ -> H1+(n=11) + C5+,2018000195,R. K. Janev### B. H. Bransden### and J. W. Gallagher,Evaluated Theoretical Cross Section Data for Charge Exchange of Multiply Charged Ions with Atoms. I. Hydrogen Atom‐Fully Stripped Ion Systems,J. Phys. Chem. Ref. Data,12,829,1983
C,B201866467,Collision Processes,Cross Section,Heavy Particle Impact,Charge Transfer,Single,Charge Transfer; Single,HCX, eV, cm2,Recommended Data,H(1s) + C6+ -> H1+(n=12) + C5+,2018000195,R. K. Janev### B. H. Bransden### and J. W. Gallagher,Evaluated Theoretical Cross Section Data for Charge Exchange of Multiply Charged Ions with Atoms. I. Hydrogen Atom‐Fully Stripped Ion Systems,J. Phys. Chem. Ref. Data,12,829,1983
C,B201866468,Collision Processes,Cross Section,Heavy Particle Impact,Charge Transfer,Single,Charge Transfer; Single,HCX, eV, cm2,Recommended Data,H(1s) + C6+ -> H1+(n=13) + C5+,2018000195,R. K. Janev### B. H. Bransden### and J. W. Gallagher,Evaluated Theoretical Cross Section Data for Charge Exchange of Multiply Charged Ions with Atoms. I. Hydrogen Atom‐Fully Stripped Ion Systems,J. Phys. Chem. Ref. Data,12,829,1983
C,B201866469,Collision Processes,Cross Section,Heavy Particle Impact,Charge Transfer,Single,Charge Transfer; Single,HCX, eV, cm2,Recommended Data,H(1s) + C6+ -> H1+(n=14) + C5+,2018000195,R. K. Janev### B. H. Bransden### and J. W. Gallagher,Evaluated Theoretical Cross Section Data for Charge Exchange of Multiply Charged Ions with Atoms. I. Hydrogen Atom‐Fully Stripped Ion Systems,J. Phys. Chem. Ref. Data,12,829,1983
C,B201866470,Collision Processes,Cross Section,Heavy Particle Impact,Charge Transfer,Single,Charge Transfer; Single,HCX, eV, cm2,Recommended Data,H(1s) + C6+ -> H1+(n=1) + C5+,2018000195,R. K. Janev### B. H. Bransden### and J. W. Gallagher,Evaluated Theoretical Cross Section Data for Charge Exchange of Multiply Charged Ions with Atoms. I. Hydrogen Atom‐Fully Stripped Ion Systems,J. Phys. Chem. Ref. Data,12,829,1983
C,B201866471,Collision Processes,Cross Section,Heavy Particle Impact,Charge Transfer,Single,Charge Transfer; Single,HCX, eV, cm2,Recommended Data,H(1s) + C6+ -> H1+(n=2) + C5+,2018000195,R. K. Janev### B. H. Bransden### and J. W. Gallagher,Evaluated Theoretical Cross Section Data for Charge Exchange of Multiply Charged Ions with Atoms. I. Hydrogen Atom‐Fully Stripped Ion Systems,J. Phys. Chem. Ref. Data,12,829,1983
C,B201866472,Collision Processes,Cross Section,Heavy Particle Impact,Charge Transfer,Single,Charge Transfer; Single,HCX, eV, cm2,Recommended Data,H(1s) + C6+ -> H1+(n=3) + C5+,2018000195,R. K. Janev### B. H. Bransden### and J. W. Gallagher,Evaluated Theoretical Cross Section Data for Charge Exchange of Multiply Charged Ions with Atoms. I. Hydrogen Atom‐Fully Stripped Ion Systems,J. Phys. Chem. Ref. Data,12,829,1983
C,B201866473,Collision Processes,Cross Section,Heavy Particle Impact,Charge Transfer,Single,Charge Transfer; Single,HCX, eV, cm2,Recommended Data,H(1s) + C6+ -> H1+(n=4) + C5+,2018000195,R. K. Janev### B. H. Bransden### and J. W. Gallagher,Evaluated Theoretical Cross Section Data for Charge Exchange of Multiply Charged Ions with Atoms. I. Hydrogen Atom‐Fully Stripped Ion Systems,J. Phys. Chem. Ref. Data,12,829,1983
C,B201866474,Collision Processes,Cross Section,Heavy Particle Impact,Charge Transfer,Single,Charge Transfer; Single,HCX, eV, cm2,Recommended Data,H(1s) + C6+ -> H1+(n=5) + C5+,2018000195,R. K. Janev### B. H. Bransden### and J. W. Gallagher,Evaluated Theoretical Cross Section Data for Charge Exchange of Multiply Charged Ions with Atoms. I. Hydrogen Atom‐Fully Stripped Ion Systems,J. Phys. Chem. Ref. Data,12,829,1983
C,B201866475,Collision Processes,Cross Section,Heavy Particle Impact,Charge Transfer,Single,Charge Transfer; Single,HCX, eV, cm2,Recommended Data,H(1s) + C6+ -> H1+(n=6) + C5+,2018000195,R. K. Janev### B. H. Bransden### and J. W. Gallagher,Evaluated Theoretical Cross Section Data for Charge Exchange of Multiply Charged Ions with Atoms. I. Hydrogen Atom‐Fully Stripped Ion Systems,J. Phys. Chem. Ref. Data,12,829,1983
C,B201866476,Collision Processes,Cross Section,Heavy Particle Impact,Charge Transfer,Single,Charge Transfer; Single,HCX, eV, cm2,Recommended Data,H(1s) + C6+ -> H1+(n=7) + C5+,2018000195,R. K. Janev### B. H. Bransden### and J. W. Gallagher,Evaluated Theoretical Cross Section Data for Charge Exchange of Multiply Charged Ions with Atoms. I. Hydrogen Atom‐Fully Stripped Ion Systems,J. Phys. Chem. Ref. Data,12,829,1983
C,B201866477,Collision Processes,Cross Section,Heavy Particle Impact,Charge Transfer,Single,Charge Transfer; Single,HCX, eV, cm2,Recommended Data,H(1s) + C6+ -> H1+(n=8) + C5+,2018000195,R. K. Janev### B. H. Bransden### and J. W. Gallagher,Evaluated Theoretical Cross Section Data for Charge Exchange of Multiply Charged Ions with Atoms. I. Hydrogen Atom‐Fully Stripped Ion Systems,J. Phys. Chem. Ref. Data,12,829,1983
C,B201866478,Collision Processes,Cross Section,Heavy Particle Impact,Charge Transfer,Single,Charge Transfer; Single,HCX, eV, cm2,Recommended Data,H(1s) + C6+ -> H1+(n=9) + C5+,2018000195,R. K. Janev### B. H. Bransden### and J. W. Gallagher,Evaluated Theoretical Cross Section Data for Charge Exchange of Multiply Charged Ions with Atoms. I. Hydrogen Atom‐Fully Stripped Ion Systems,J. Phys. Chem. Ref. Data,12,829,1983
C,B201866479,Collision Processes,Cross Section,Heavy Particle Impact,Charge Transfer,Single,Charge Transfer; Single,HCX, eV, cm2,Recommended Data,H(1s) + C6+ -> H1+(n=10) + C5+,2018000195,R. K. Janev### B. H. Bransden### and J. W. Gallagher,Evaluated Theoretical Cross Section Data for Charge Exchange of Multiply Charged Ions with Atoms. I. Hydrogen Atom‐Fully Stripped Ion Systems,J. Phys. Chem. Ref. Data,12,829,1983
C,B201866480,Collision Processes,Cross Section,Heavy Particle Impact,Charge Transfer,Single,Charge Transfer; Single,HCX, eV, cm2,Recommended Data,H(1s) + C6+ -> H1+(n=11) + C5+,2018000195,R. K. Janev### B. H. Bransden### and J. W. Gallagher,Evaluated Theoretical Cross Section Data for Charge Exchange of Multiply Charged Ions with Atoms. I. Hydrogen Atom‐Fully Stripped Ion Systems,J. Phys. Chem. Ref. Data,12,829,1983
C,B201866481,Collision Processes,Cross Section,Heavy Particle Impact,Charge Transfer,Single,Charge Transfer; Single,HCX, eV, cm2,Recommended Data,H(1s) + C6+ -> H1+(n=12) + C5+,2018000195,R. K. Janev### B. H. Bransden### and J. W. Gallagher,Evaluated Theoretical Cross Section Data for Charge Exchange of Multiply Charged Ions with Atoms. I. Hydrogen Atom‐Fully Stripped Ion Systems,J. Phys. Chem. Ref. Data,12,829,1983
C,B201866482,Collision Processes,Cross Section,Heavy Particle Impact,Charge Transfer,Single,Charge Transfer; Single,HCX, eV, cm2,Recommended Data,H(1s) + C6+ -> H1+(n=13) + C5+,2018000195,R. K. Janev### B. H. Bransden### and J. W. Gallagher,Evaluated Theoretical Cross Section Data for Charge Exchange of Multiply Charged Ions with Atoms. I. Hydrogen Atom‐Fully Stripped Ion Systems,J. Phys. Chem. Ref. Data,12,829,1983
C,B201866483,Collision Processes,Cross Section,Heavy Particle Impact,Charge Transfer,Single,Charge Transfer; Single,HCX, eV, cm2,Recommended Data,H(1s) + C6+ -> H1+(n=14) + C5+,2018000195,R. K. Janev### B. H. Bransden### and J. W. Gallagher,Evaluated Theoretical Cross Section Data for Charge Exchange of Multiply Charged Ions with Atoms. I. Hydrogen Atom‐Fully Stripped Ion Systems,J. Phys. Chem. Ref. Data,12,829,1983
C,B201866484,Collision Processes,Cross Section,Heavy Particle Impact,Charge Transfer,Single,Charge Transfer; Single,HCX, eV, cm2,Recommended Data,H(1s) + C6+ -> H1+(n=2) + C5+,2018000195,R. K. Janev### B. H. Bransden### and J. W. Gallagher,Evaluated Theoretical Cross Section Data for Charge Exchange of Multiply Charged Ions with Atoms. I. Hydrogen Atom‐Fully Stripped Ion Systems,J. Phys. Chem. Ref. Data,12,829,1983
C,B201866485,Collision Processes,Cross Section,Heavy Particle Impact,Charge Transfer,Single,Charge Transfer; Single,HCX, eV, cm2,Recommended Data,H(1s) + C6+ -> H1+(n=3) + C5+,2018000195,R. K. Janev### B. H. Bransden### and J. W. Gallagher,Evaluated Theoretical Cross Section Data for Charge Exchange of Multiply Charged Ions with Atoms. I. Hydrogen Atom‐Fully Stripped Ion Systems,J. Phys. Chem. Ref. Data,12,829,1983
C,B201866486,Collision Processes,Cross Section,Heavy Particle Impact,Charge Transfer,Single,Charge Transfer; Single,HCX, eV, cm2,Recommended Data,H(1s) + C6+ -> H1+(n=4) + C5+,2018000195,R. K. Janev### B. H. Bransden### and J. W. Gallagher,Evaluated Theoretical Cross Section Data for Charge Exchange of Multiply Charged Ions with Atoms. I. Hydrogen Atom‐Fully Stripped Ion Systems,J. Phys. Chem. Ref. Data,12,829,1983
C,B201866487,Collision Processes,Cross Section,Heavy Particle Impact,Charge Transfer,Single,Charge Transfer; Single,HCX, eV, cm2,Recommended Data,H(1s) + C6+ -> H1+(n=5) + C5+,2018000195,R. K. Janev### B. H. Bransden### and J. W. Gallagher,Evaluated Theoretical Cross Section Data for Charge Exchange of Multiply Charged Ions with Atoms. I. Hydrogen Atom‐Fully Stripped Ion Systems,J. Phys. Chem. Ref. Data,12,829,1983
C,B201866488,Collision Processes,Cross Section,Heavy Particle Impact,Charge Transfer,Single,Charge Transfer; Single,HCX, eV, cm2,Recommended Data,H(1s) + C6+ -> H1+(n=6) + C5+,2018000195,R. K. Janev### B. H. Bransden### and J. W. Gallagher,Evaluated Theoretical Cross Section Data for Charge Exchange of Multiply Charged Ions with Atoms. I. Hydrogen Atom‐Fully Stripped Ion Systems,J. Phys. Chem. Ref. Data,12,829,1983
C,B201866489,Collision Processes,Cross Section,Heavy Particle Impact,Charge Transfer,Single,Charge Transfer; Single,HCX, eV, cm2,Recommended Data,H(1s) + C6+ -> H1+(n=7) + C5+,2018000195,R. K. Janev### B. H. Bransden### and J. W. Gallagher,Evaluated Theoretical Cross Section Data for Charge Exchange of Multiply Charged Ions with Atoms. I. Hydrogen Atom‐Fully Stripped Ion Systems,J. Phys. Chem. Ref. Data,12,829,1983
C,B201866490,Collision Processes,Cross Section,Heavy Particle Impact,Charge Transfer,Single,Charge Transfer; Single,HCX, eV, cm2,Recommended Data,H(1s) + C6+ -> H1+(n=8) + C5+,2018000195,R. K. Janev### B. H. Bransden### and J. W. Gallagher,Evaluated Theoretical Cross Section Data for Charge Exchange of Multiply Charged Ions with Atoms. I. Hydrogen Atom‐Fully Stripped Ion Systems,J. Phys. Chem. Ref. Data,12,829,1983
C,B201866491,Collision Processes,Cross Section,Heavy Particle Impact,Charge Transfer,Single,Charge Transfer; Single,HCX, eV, cm2,Recommended Data,H(1s) + C6+ -> H1+(n=9) + C5+,2018000195,R. K. Janev### B. H. Bransden### and J. W. Gallagher,Evaluated Theoretical Cross Section Data for Charge Exchange of Multiply Charged Ions with Atoms. I. Hydrogen Atom‐Fully Stripped Ion Systems,J. Phys. Chem. Ref. Data,12,829,1983
C,B201866492,Collision Processes,Cross Section,Heavy Particle Impact,Charge Transfer,Single,Charge Transfer; Single,HCX, eV, cm2,Recommended Data,H(1s) + C6+ -> H1+(n=10) + C5+,2018000195,R. K. Janev### B. H. Bransden### and J. W. Gallagher,Evaluated Theoretical Cross Section Data for Charge Exchange of Multiply Charged Ions with Atoms. I. Hydrogen Atom‐Fully Stripped Ion Systems,J. Phys. Chem. Ref. Data,12,829,1983
C,B201866493,Collision Processes,Cross Section,Heavy Particle Impact,Charge Transfer,Single,Charge Transfer; Single,HCX, eV, cm2,Recommended Data,H(1s) + C6+ -> H1+(n=11) + C5+,2018000195,R. K. Janev### B. H. Bransden### and J. W. Gallagher,Evaluated Theoretical Cross Section Data for Charge Exchange of Multiply Charged Ions with Atoms. I. Hydrogen Atom‐Fully Stripped Ion Systems,J. Phys. Chem. Ref. Data,12,829,1983
C,B201866494,Collision Processes,Cross Section,Heavy Particle Impact,Charge Transfer,Single,Charge Transfer; Single,HCX, eV, cm2,Recommended Data,H(1s) + C6+ -> H1+(n=12) + C5+,2018000195,R. K. Janev### B. H. Bransden### and J. W. Gallagher,Evaluated Theoretical Cross Section Data for Charge Exchange of Multiply Charged Ions with Atoms. I. Hydrogen Atom‐Fully Stripped Ion Systems,J. Phys. Chem. Ref. Data,12,829,1983
C,B201866495,Collision Processes,Cross Section,Heavy Particle Impact,Charge Transfer,Single,Charge Transfer; Single,HCX, eV, cm2,Recommended Data,H(1s) + C6+ -> H1+(n=13) + C5+,2018000195,R. K. Janev### B. H. Bransden### and J. W. Gallagher,Evaluated Theoretical Cross Section Data for Charge Exchange of Multiply Charged Ions with Atoms. I. Hydrogen Atom‐Fully Stripped Ion Systems,J. Phys. Chem. Ref. Data,12,829,1983
C,B201866496,Collision Processes,Cross Section,Heavy Particle Impact,Charge Transfer,Single,Charge Transfer; Single,HCX, eV, cm2,Recommended Data,H(1s) + C6+ -> H1+(n=14) + C5+,2018000195,R. K. Janev### B. H. Bransden### and J. W. Gallagher,Evaluated Theoretical Cross Section Data for Charge Exchange of Multiply Charged Ions with Atoms. I. Hydrogen Atom‐Fully Stripped Ion Systems,J. Phys. Chem. Ref. Data,12,829,1983
C,B201866593,Collision Processes,Cross Section,Heavy Particle Impact,Charge Transfer,Single,Charge Transfer; Single,HCX, eV, cm2,Recommended Data,H(1s) + C2+ -> H1+ + C1+,2018000196,J. W. Gallagher###  B. H. Bransden### and  R. K. Janev,Evaluated Theoretical Cross Section Data for Charge Exchange of Multiply Charged Ions with Atoms. II. Hydrogen Atom‐Partially Stripped Ion Systems ,J. Phys. Chem. Ref. Data,12,873,1983
C,B201866594,Collision Processes,Cross Section,Heavy Particle Impact,Charge Transfer,Single,Charge Transfer; Single,HCX, eV, cm2,Recommended Data,H(1s) + C3+ -> H1+ + C2+,2018000196,J. W. Gallagher###  B. H. Bransden### and  R. K. Janev,Evaluated Theoretical Cross Section Data for Charge Exchange of Multiply Charged Ions with Atoms. II. Hydrogen Atom‐Partially Stripped Ion Systems ,J. Phys. Chem. Ref. Data,12,873,1983
C,B201866595,Collision Processes,Cross Section,Heavy Particle Impact,Charge Transfer,Single,Charge Transfer; Single,HCX, eV, cm2,Recommended Data,H(1s) + C3+ -> H1+ + C2+,2018000196,J. W. Gallagher###  B. H. Bransden### and  R. K. Janev,Evaluated Theoretical Cross Section Data for Charge Exchange of Multiply Charged Ions with Atoms. II. Hydrogen Atom‐Partially Stripped Ion Systems ,J. Phys. Chem. Ref. Data,12,873,1983
C,B201866596,Collision Processes,Cross Section,Heavy Particle Impact,Charge Transfer,Single,Charge Transfer; Single,HCX, eV, cm2,Recommended Data,H(1s) + C4+ -> H1+ + C3+,2018000196,J. W. Gallagher###  B. H. Bransden### and  R. K. Janev,Evaluated Theoretical Cross Section Data for Charge Exchange of Multiply Charged Ions with Atoms. II. Hydrogen Atom‐Partially Stripped Ion Systems ,J. Phys. Chem. Ref. Data,12,873,1983
C,B201866597,Collision Processes,Cross Section,Heavy Particle Impact,Charge Transfer,Single,Charge Transfer; Single,HCX, eV, cm2,Recommended Data,H(1s) + C4+ -> H1+ + C3+,2018000196,J. W. Gallagher###  B. H. Bransden### and  R. K. Janev,Evaluated Theoretical Cross Section Data for Charge Exchange of Multiply Charged Ions with Atoms. II. Hydrogen Atom‐Partially Stripped Ion Systems ,J. Phys. Chem. Ref. Data,12,873,1983
C,B201866598,Collision Processes,Cross Section,Heavy Particle Impact,Charge Transfer,Single,Charge Transfer; Single,HCX, eV, cm2,Recommended Data,H(1s) + C4+ -> H1+ + C3+,2018000196,J. W. Gallagher###  B. H. Bransden### and  R. K. Janev,Evaluated Theoretical Cross Section Data for Charge Exchange of Multiply Charged Ions with Atoms. II. Hydrogen Atom‐Partially Stripped Ion Systems ,J. Phys. Chem. Ref. Data,12,873,1983
