specie,id_number,categorize,collision_data_categorize,collision_type,collision_process,sub_process,Process,QDB Process,Original X Unit,Original Y Unit,Theory_Experiment_Recommendation,reaction_formula,reference_number,author,title_of_record,journal_name,volume_and_issue_No,page_number,date_of_publication
Al,B201878839,Collision Processes,Rate Coefficient,Photon Impact,Ionization,Single,Ionization; Single,, K, cm3/s,Theoretical Data,hv + Al9+ -> Al8+,2018000542,D. A.VERNER### G. J. FERLAND### AND K. T. KORISTA AND D. G. YAKOVLEV,ATOMIC DATA FOR ASTROPHYSICS. II. NEW ANALYTIC FITS FOR PHOTOIONIZATION CROSS SECTIONS OF ATOMS AND IONS,THE ASTROPHYSICAL JOURNAL,465,487,1996
Al,B201878840,Collision Processes,Rate Coefficient,Photon Impact,Ionization,Single,Ionization; Single,, K, cm3/s,Theoretical Data,hv + Al10+ -> Al9+,2018000542,D. A.VERNER### G. J. FERLAND### AND K. T. KORISTA AND D. G. YAKOVLEV,ATOMIC DATA FOR ASTROPHYSICS. II. NEW ANALYTIC FITS FOR PHOTOIONIZATION CROSS SECTIONS OF ATOMS AND IONS,THE ASTROPHYSICAL JOURNAL,465,487,1996
Al,B201878841,Collision Processes,Rate Coefficient,Photon Impact,Ionization,Single,Ionization; Single,, K, cm3/s,Theoretical Data,hv + Al11+ -> Al10+,2018000542,D. A.VERNER### G. J. FERLAND### AND K. T. KORISTA AND D. G. YAKOVLEV,ATOMIC DATA FOR ASTROPHYSICS. II. NEW ANALYTIC FITS FOR PHOTOIONIZATION CROSS SECTIONS OF ATOMS AND IONS,THE ASTROPHYSICAL JOURNAL,465,487,1996
Al,B201878842,Collision Processes,Rate Coefficient,Photon Impact,Ionization,Single,Ionization; Single,, K, cm3/s,Theoretical Data,hv + Al12+ -> Al11+,2018000542,D. A.VERNER### G. J. FERLAND### AND K. T. KORISTA AND D. G. YAKOVLEV,ATOMIC DATA FOR ASTROPHYSICS. II. NEW ANALYTIC FITS FOR PHOTOIONIZATION CROSS SECTIONS OF ATOMS AND IONS,THE ASTROPHYSICAL JOURNAL,465,487,1996
Al,B201878843,Collision Processes,Rate Coefficient,Photon Impact,Ionization,Single,Ionization; Single,, K, cm3/s,Theoretical Data,hv + Al13+ -> Al12+,2018000542,D. A.VERNER### G. J. FERLAND### AND K. T. KORISTA AND D. G. YAKOVLEV,ATOMIC DATA FOR ASTROPHYSICS. II. NEW ANALYTIC FITS FOR PHOTOIONIZATION CROSS SECTIONS OF ATOMS AND IONS,THE ASTROPHYSICAL JOURNAL,465,487,1996
Al,B201879349,Collision Processes,Cross Section,Photon Impact,Ionization,Total,Ionization; Total,, eV, cm2,Experimental Data,hv + Al,2018000563,K Prema Chand### D K S Reddy### V Radha Krishna Murty### J Rama Rao and V Lakshminarayana,Photoelectric cross sections of low-energy photons in light elements,J. Phys. B: At. Mol. Opt. Phys.,9,177,1976
Al,B201880842,Collision Processes,Cross Section,Photon Impact,Absorption,PhotoAbsorption,Absorption; PhotoAbsorption,, eV, cm2,Experimental Data,hv + Al,2018000581,Rajendra Prasad,Total photon-absorption cross-section measurements at 52.4### 60### 72.2### and 84.4 keV in Al### Fe### Mo### Ag### W### and Pt: Photoelectric cross sections deduced,PHYSICAL REVIEW A,18,2167,1978
Al,B201880994,Collision Processes,Cross Section,Photon Impact,Scattering,Total,Scattering; Total,, eV, cm2,Recommended Data,hv + Al,2018000608,Lellery Storm### Harvey I. Israel,Photon cross sections from 1 keV to 100 MeV for elements Z=1 to Z=100,Atomic Data and Nuclear Data Tables,A7,565,1970
Al,B201881106,Collision Processes,Cross Section,Photon Impact,Scattering,Total,Scattering; Total,, eV, cm2,Theoretical Data,hv + Al,2018000609,Wm.J. Veigele,Photon cross sections from 0.1 keV to 1 MeV for elements Z = 1 to Z = 94,Atomic Data and Nuclear Data Tables,5,51,1973
Al,B201881107,Collision Processes,Cross Section,Photon Impact,Scattering,Total,Scattering; Total,, eV, cm2,Recommended Data,hv + Al,2018000609,Wm.J. Veigele,Photon cross sections from 0.1 keV to 1 MeV for elements Z = 1 to Z = 94,Atomic Data and Nuclear Data Tables,5,51,1973
Ar,B201210002,Collision Processes,Cross Section,Heavy Particle Impact,Detachment,Detachment,Detachment; Detachment,HED, eV, cm2,Experimental Data,SF6- + Ar -> SF6 + e + Ar,2012000549,R. L. Champion### I. V. Dyakov### and B. L. Peko### Yicheng Wang,Collisional decomposition of the sulfur hexaflouride anion (SF-6),J. Chem. Phys.,115,1765,2001
Ar,B201210216,Collision Processes,Rate Coefficient,Heavy Particle Impact,Excitation,Reaction,Excitation; Reaction,HEX, K, cm3/s,Theoretical Data,HF(v=1###j=0) + Ar -> HF(v=0###j=0) + Ar,2012000601,Roman V. Krems### Nikola Markovic,Quantum-mechanical study of vibrational relaxation of HF in collisions with Ar atoms,J. Chem. Phys.,114,1249,2001
Ar,B201210217,Collision Processes,Rate Coefficient,Heavy Particle Impact,Excitation,Reaction,Excitation; Reaction,HEX, K, cm3/s,Theoretical Data,HF(v=1###j=1) + Ar -> HF(v=0###j=0) + Ar,2012000601,Roman V. Krems### Nikola Markovic,Quantum-mechanical study of vibrational relaxation of HF in collisions with Ar atoms,J. Chem. Phys.,114,1249,2001
Ar,B201210218,Collision Processes,Rate Coefficient,Heavy Particle Impact,Excitation,Reaction,Excitation; Reaction,HEX, K, cm3/s,Theoretical Data,HF(v=1###j=2) + Ar -> HF(v=0###j=0) + Ar,2012000601,Roman V. Krems### Nikola Markovic,Quantum-mechanical study of vibrational relaxation of HF in collisions with Ar atoms,J. Chem. Phys.,114,1249,2001
Ar,B201210219,Collision Processes,Rate Coefficient,Heavy Particle Impact,Excitation,Reaction,Excitation; Reaction,HEX, K, cm3/s,Theoretical Data,HF(v=1###j=3) + Ar -> HF(v=0###j=0) + Ar,2012000601,Roman V. Krems### Nikola Markovic,Quantum-mechanical study of vibrational relaxation of HF in collisions with Ar atoms,J. Chem. Phys.,114,1249,2001
Ar,B201210220,Collision Processes,Rate Coefficient,Heavy Particle Impact,Excitation,Reaction,Excitation; Reaction,HEX, K, cm3/s,Theoretical Data,HF(v=1###j=4) + Ar -> HF(v=0###j=0) + Ar,2012000601,Roman V. Krems### Nikola Markovic,Quantum-mechanical study of vibrational relaxation of HF in collisions with Ar atoms,J. Chem. Phys.,114,1249,2001
Ar,B201210221,Collision Processes,Rate Coefficient,Heavy Particle Impact,Excitation,Reaction,Excitation; Reaction,HEX, K, cm3/s,Theoretical Data,HF(v=1###j=5) + Ar -> HF(v=0###j=0) + Ar,2012000601,Roman V. Krems### Nikola Markovic,Quantum-mechanical study of vibrational relaxation of HF in collisions with Ar atoms,J. Chem. Phys.,114,1249,2001
Ar,B201210222,Collision Processes,Rate Coefficient,Heavy Particle Impact,Excitation,Reaction,Excitation; Reaction,HEX, K, cm3/s,Theoretical Data,HF(v=1###j=6) + Ar -> HF(v=0###j=0) + Ar,2012000601,Roman V. Krems### Nikola Markovic,Quantum-mechanical study of vibrational relaxation of HF in collisions with Ar atoms,J. Chem. Phys.,114,1249,2001
Ar,B201210223,Collision Processes,Rate Coefficient,Heavy Particle Impact,Excitation,Reaction,Excitation; Reaction,HEX, K, cm3/s,Theoretical Data,HF(v=1###j=7) + Ar -> HF(v=0###j=0) + Ar,2012000601,Roman V. Krems### Nikola Markovic,Quantum-mechanical study of vibrational relaxation of HF in collisions with Ar atoms,J. Chem. Phys.,114,1249,2001
